year,month,length-sum,length-mean,date,period
2023,11,444184,649.3918128654971,2023-11-01,Wartime
2023,10,391428,615.4528301886793,2023-10-01,Pre-War
2023,12,279856,612.3763676148797,2023-12-01,Wartime
2024,1,217854,668.2638036809816,2024-01-01,Wartime
2024,2,202725,643.5714285714286,2024-02-01,Wartime
2024,3,202288,663.239344262295,2024-03-01,Wartime
2021,5,178644,950.2340425531914,2021-05-01,Pre-War
2024,4,117480,596.3451776649746,2024-04-01,Wartime
2022,5,71778,696.8737864077669,2022-05-01,Pre-War
2021,6,67443,832.6296296296297,2021-06-01,Pre-War
2023,5,62107,739.3690476190476,2023-05-01,Pre-War
2023,7,52172,660.4050632911392,2023-07-01,Pre-War
2023,6,43332,734.4406779661017,2023-06-01,Pre-War
2023,1,42829,658.9076923076923,2023-01-01,Pre-War
2023,4,40363,791.4313725490196,2023-04-01,Pre-War
2022,9,39628,808.734693877551,2022-09-01,Pre-War
2022,8,38867,637.1639344262295,2022-08-01,Pre-War
2023,2,36400,700.0,2023-02-01,Pre-War
2022,12,34080,725.1063829787234,2022-12-01,Pre-War
2022,4,32157,714.6,2022-04-01,Pre-War
2022,7,29684,873.0588235294117,2022-07-01,Pre-War
2021,9,29020,763.6842105263158,2021-09-01,Pre-War
2023,8,28508,678.7619047619048,2023-08-01,Pre-War
2021,10,25945,894.6551724137931,2021-10-01,Pre-War
2022,6,24717,706.2,2022-06-01,Pre-War
2021,8,23474,690.4117647058823,2021-08-01,Pre-War
2021,7,23388,668.2285714285714,2021-07-01,Pre-War
2023,3,21700,586.4864864864865,2023-03-01,Pre-War
2022,11,21698,748.2068965517242,2022-11-01,Pre-War
2023,9,20457,619.9090909090909,2023-09-01,Pre-War
2022,10,20281,654.2258064516129,2022-10-01,Pre-War
2021,12,14578,911.125,2021-12-01,Pre-War
2021,11,13597,647.4761904761905,2021-11-01,Pre-War
2022,3,13447,747.0555555555555,2022-03-01,Pre-War
2022,1,9105,700.3846153846154,2022-01-01,Pre-War
2022,2,7533,684.8181818181819,2022-02-01,Pre-War
2017,6,146,146.0,2017-06-01,Pre-War
