,year,Topic_Label,Article_Count
0,2021,"bank, west, israeli, palestinian",40
1,2021,"captives, hamas, release, hostages",5
2,2021,"hospital, patients, medical, hospitals",5
3,2021,"my, her, she, we",7
4,2021,"reconstruction, gaza, blockade, qatar",9
5,2021,"rights, human, un, albanese",2
6,2021,"we, are, to, is",1
7,2022,"bank, west, israeli, palestinian",98
8,2022,"captives, hamas, release, hostages",2
9,2022,"iran, iranian, syria, us",1
10,2022,"my, her, she, we",10
11,2022,"reconstruction, gaza, blockade, qatar",1
12,2022,"rights, human, un, albanese",2
13,2023,"bank, west, israeli, palestinian",203
14,2023,"captives, hamas, release, hostages",89
15,2023,"hospital, patients, medical, hospitals",100
16,2023,"insightful, graphics, illustrated, perspectives",9
17,2023,"iran, iranian, syria, us",46
18,2023,"journalists, abc, media, coverage",6
19,2023,"my, her, she, we",90
20,2023,"rights, human, un, albanese",3
21,2023,"we, are, to, is",5
22,2024,"bank, west, israeli, palestinian",18
23,2024,"captives, hamas, release, hostages",52
24,2024,"hospital, patients, medical, hospitals",25
25,2024,"insightful, graphics, illustrated, perspectives",2
26,2024,"iran, iranian, syria, us",57
27,2024,"journalists, abc, media, coverage",5
28,2024,"my, her, she, we",29
29,2024,"reconstruction, gaza, blockade, qatar",1
30,2024,"rights, human, un, albanese",4
31,2024,"we, are, to, is",4
